,Ticker,Shares
0,DG,230.49661143902662
1,FTS.TO,575.4547297610725
2,CME,4729.009478642319
3,DUK,883.8446997954688
4,AEP,300.30206808838483
5,EXC,518.9324946135035
6,ENB.TO,143.22493436633917
7,WN.TO,44.68858507761892
8,BNS.TO,387.10789495964724
9,UL,229.95667422823897
10,BB.TO,592.5027141056692
11,BTI,613.8127709272378
12,LMT,391.6983606451735
13,KO,99.90397889142251
14,T.TO,2969.551499780273
15,SLF.TO,561.6380063100647
16,BCE.TO,84.25989929250875
17,COST,176.23274826316288
18,ATD.TO,191.95632286068405
19,TRP.TO,482.9734320500829
20,GOOG,1498.3493142751613
21,WCN.TO,528.3299429229505
22,RY.TO,673.5117007252903
23,NA.TO,166.20210163012098
24,KITS.TO,426.6651679466248
